"WorkspaceId","WorkspaceName","WorkspaceType","WorkspaceCapacityId","WorkspaceDefaultDatasetStorageFormat","WorkspaceIsReadOnly","WorkspaceIsOnDedicatedCapacity"
"8c51e69e-fdf2-46f5-8ab7-d02ef0bc912d","DOH-Data Stage Test","Workspace","72AA2844-F3D6-459A-A19B-D8ECFE5EB068","Small","False","True"
"e22d3b5d-fc1f-4e7f-ab97-ee365c2a45a6","DOH-Data Stage Prod","Workspace","72AA2844-F3D6-459A-A19B-D8ECFE5EB068","Small","False","True"
"df79e3d9-7c63-4c16-a103-30110fba7302","DOH-PBIDashBoards","Workspace","72AA2844-F3D6-459A-A19B-D8ECFE5EB068","Small","False","True"
"0626e185-b817-4708-9077-adbf093d912c","DOH-Medical Services Section","Workspace",,,"False","False"
"143c548e-6a8f-440c-ba0f-0aac7881a9a4","DOH-Public Health Informatics","Workspace",,,"False","False"
"7e5a8de5-fd01-49b5-8847-c250cf6cf7e1","DOH-Health Analytics","Workspace",,,"False","False"
"033d46a0-e2e2-4ab9-9405-552ad7fcd3be","DOH - Surveillance & Data Management","Workspace",,,"False","False"
"172d44aa-8bfd-44cd-95e6-0cd4038fd8ab","DOH - Health Statistics & Performance","Workspace",,,"False","False"
"133a4bce-010e-4e8c-b875-d6c8e33b6573","DOH-STI & Bloodborne Diseases Unit","Workspace",,,"False","False"
